rule_index,direction,offset,multiplier,intercept,centered_score,matches,incorrect,matrix_total
174,1,0,23,6,2721,28372,659004,451231
175,1,0,23,7,685,29360,658016,469075
176,1,0,23,8,144,24424,662952,390640
177,1,0,23,9,691,30399,656977,485693
178,1,0,23,10,-2890,27171,660205,437626
179,1,0,23,11,1456,33643,653733,536832
180,1,0,23,12,1441,24678,662698,393407
181,1,0,23,13,5850,29987,657389,473942
182,1,0,23,14,-1401,28255,659121,453481
183,1,0,23,15,-1160,31475,655901,504760
184,1,0,23,16,608,24736,662640,395168
185,1,0,23,17,-2505,27500,659876,442505
186,1,0,23,18,-812,27812,659564,445804
187,1,0,23,19,-1586,31900,655476,511986
188,1,0,23,20,-2963,26935,660441,433923
189,1,0,23,21,-1666,30443,656933,488754
190,1,0,23,22,1537,27099,660277,432047
191,1,0,23,23,-102,29857,657519,477814
192,1,1,1,0,394,25302,662074,404438
193,1,1,1,1,-744,30680,656696,491624
194,1,1,1,2,-1973,26046,661330,418709
195,1,1,1,3,476,31704,655672,506788
196,1,1,1,4,-293,25669,661707,410997
197,1,1,1,5,-3389,30890,656486,497629
198,1,1,1,6,998,27105,660271,432682
199,1,1,1,7,1428,31548,655828,503340
200,1,1,1,8,-3363,26291,661085,424019
201,1,1,1,9,2568,30202,657174,480664
202,1,1,1,10,-2795,25395,661981,409115
203,1,1,1,11,260,29040,658336,464380
204,1,1,1,12,787,28062,659314,448205
205,1,1,1,13,340,31715,655661,507100
206,1,1,1,14,-1582,27893,659483,447870
207,1,1,1,15,4401,28627,658749,453631
208,1,1,1,16,1352,25235,662141,402408
209,1,1,1,17,1951,32727,654649,521681
210,1,1,1,18,2381,27476,659900,437235
211,1,1,1,19,-2247,27574,659802,443431
212,1,1,1,20,-1702,26466,660910,425158
213,1,1,1,21,1421,32881,654495,524675
214,1,1,1,22,2072,29320,658056,467048
215,1,1,1,23,-2741,29528,657848,475189
216,1,1,5,0,1352,26062,661314,415640
217,1,1,5,1,1127,31551,655825,503689
218,1,1,5,2,54,27464,659912,439370
219,1,1,5,3,2783,29540,657836,469857
220,1,1,5,4,2869,25791,661585,409787
221,1,1,5,5,-3412,31584,655792,508756
222,1,1,5,6,-1252,28787,658589,461844
223,1,1,5,7,-724,30693,656683,491812
224,1,1,5,8,-3749,26577,660799,428981
225,1,1,5,9,1150,31717,655659,506322
226,1,1,5,10,-228,28861,658515,462004
227,1,1,5,11,-484,28356,659020,454180
228,1,1,5,12,-985,26307,661069,421897
229,1,1,5,13,3619,30998,656378,492349
230,1,1,5,14,718,26316,661060,420338
231,1,1,5,15,382,30266,657110,483874
232,1,1,5,16,-748,25972,661404,416300
233,1,1,5,17,229,31714,655662,507195
234,1,1,5,18,693,26443,660933,422395
235,1,1,5,19,-589,28285,659091,453149
236,1,1,5,20,-1564,26316,661060,422620
237,1,1,5,21,-566,31531,655845,505062
238,1,1,5,22,-884,25364,662012,406708
239,1,1,5,23,209,30881,656495,493887
240,1,1,7,0,-3623,23392,663984,377895
241,1,1,7,1,-170,30322,657054,485322
242,1,1,7,2,-2284,27384,659992,440428
243,1,1,7,3,2579,33285,654091,529981
244,1,1,7,4,-2216,24410,662966,392776
245,1,1,7,5,-2621,30342,657034,488093
246,1,1,7,6,6104,28644,658732,452200
247,1,1,7,7,-872,30231,657145,484568
248,1,1,7,8,1713,26065,661311,415327
249,1,1,7,9,-1659,29000,658376,465659
250,1,1,7,10,2844,27528,659848,437604
251,1,1,7,11,2552,32089,655287,510872
252,1,1,7,12,497,28428,658948,454351
253,1,1,7,13,-178,30269,657107,484482
254,1,1,7,14,-7193,27649,659727,449577
255,1,1,7,15,5205,29876,657500,472811
256,1,1,7,16,-934,26288,661088,421542
257,1,1,7,17,-4954,28915,658461,467594
258,1,1,7,18,1582,27481,659895,438114
259,1,1,7,19,-3,30695,656681,491123
260,1,1,7,20,-856,25598,661778,410424
261,1,1,7,21,2741,31253,656123,497307
262,1,1,7,22,642,27393,659983,437646
263,1,1,7,23,1104,30839,656537,492320
264,1,1,11,0,-1437,26737,660639,429229
265,1,1,11,1,-1562,28540,658836,458202
266,1,1,11,2,1841,28570,658806,455279
267,1,1,11,3,1843,32735,654641,521917
268,1,1,11,4,-3155,25893,661483,417443
269,1,1,11,5,-4035,28934,658442,466979
270,1,1,11,6,1321,27232,660144,434391
271,1,1,11,7,2287,31711,655665,505089
272,1,1,11,8,-2617,25658,661718,413145
273,1,1,11,9,89,30771,656605,492247
274,1,1,11,10,1816,28380,658996,452264
275,1,1,11,11,-705,30939,656437,495729
276,1,1,11,12,2863,24710,662666,392497
277,1,1,11,13,-2651,31340,656036,504091
278,1,1,11,14,-2460,26865,660511,432300
279,1,1,11,15,490,29257,658119,467622
280,1,1,11,16,232,25603,661773,409416
281,1,1,11,17,-9,30225,657151,483609
282,1,1,11,18,-2939,28920,658456,465659
283,1,1,11,19,5359,29936,657440,473617
284,1,1,11,20,-1305,25580,661796,410585
285,1,1,11,21,1327,30291,657085,483329
286,1,1,11,22,2116,26112,661264,415676
287,1,1,11,23,1291,32437,654939,517701
288,1,1,13,0,-839,26623,660753,426807
289,1,1,13,1,459,32087,655289,512933
290,1,1,13,2,-3399,26919,660457,434103
291,1,1,13,3,1224,28337,659039,452168
292,1,1,13,4,-246,25582,661794,409558
293,1,1,13,5,210,33221,654155,531326
294,1,1,13,6,338,25660,661716,410222
295,1,1,13,7,-3253,29051,658325,468069
296,1,1,13,8,-3611,26666,660710,430267
297,1,1,13,9,3695,32499,654877,516289
298,1,1,13,10,877,26928,660448,429971
299,1,1,13,11,-1948,27773,659603,446316
300,1,1,13,12,2020,26741,660635,425836
301,1,1,13,13,-863,30308,657068,485791
302,1,1,13,14,-156,27020,660356,432476
303,1,1,13,15,3653,31994,655382,508251
304,1,1,13,16,1305,25322,662054,403847
305,1,1,13,17,-1648,30396,656980,487984
306,1,1,13,18,3041,28921,658455,459695
307,1,1,13,19,2434,30071,657305,478702
308,1,1,13,20,-1454,26091,661285,418910
309,1,1,13,21,294,30584,656792,489050
310,1,1,13,22,-1600,27787,659589,446192
311,1,1,13,23,-533,30795,656581,493253
312,1,1,17,0,1939,26653,660723,424509
313,1,1,17,1,1098,30143,657233,481190
314,1,1,17,2,-1565,26570,660806,426685
315,1,1,17,3,3538,28442,658934,451534
316,1,1,17,4,4584,26348,661028,416984
317,1,1,17,5,-3553,31661,655715,510129
318,1,1,17,6,-270,29252,658124,468302
319,1,1,17,7,2022,29468,657908,469466
320,1,1,17,8,-1093,24760,662616,397253
321,1,1,17,9,2307,31829,655547,506957
322,1,1,17,10,-533,26369,661007,422437
323,1,1,17,11,-1714,30366,657010,487570
324,1,1,17,12,-1572,25716,661660,413028
325,1,1,17,13,3648,32406,654970,514848
326,1,1,17,14,2337,27210,660166,433023
327,1,1,17,15,-373,31364,656012,502197
328,1,1,17,16,-2463,25415,661961,409103
329,1,1,17,17,370,31637,655739,505822
330,1,1,17,18,-289,25978,661398,415937
331,1,1,17,19,-3335,29510,657866,475495
332,1,1,17,20,-4220,28133,659243,454348
333,1,1,17,21,-1723,31419,655957,504427
334,1,1,17,22,-579,27856,659520,446275
335,1,1,17,23,1439,28871,658505,460497
336,1,1,19,0,-2857,25687,661689,413849
337,1,1,19,1,-167,29985,657391,479927
338,1,1,19,2,-4778,29507,657869,476890
339,1,1,19,3,2676,30532,656844,485836
340,1,1,19,4,-1142,24561,662815,394118
341,1,1,19,5,-3913,29157,658219,470425
342,1,1,19,6,5525,27443,659933,433563
343,1,1,19,7,-1553,29354,658022,471217
344,1,1,19,8,1043,26174,661202,417741
345,1,1,19,9,2347,29451,657925,468869
346,1,1,19,10,3335,27681,659695,439561
347,1,1,19,11,3143,31506,655870,500953
348,1,1,19,12,-269,26133,661243,418397
349,1,1,19,13,-181,30606,656770,489877
350,1,1,19,14,-4699,25526,661850,413115
351,1,1,19,15,5108,32629,654747,516956
352,1,1,19,16,-2008,26137,661239,420200
353,1,1,19,17,-3662,30100,657276,485262
354,1,1,19,18,2161,28682,658694,456751
355,1,1,19,19,678,31572,655804,504474
356,1,1,19,20,-186,25489,661887,408010
357,1,1,19,21,-1265,30802,656574,494097
358,1,1,19,22,151,27240,660136,435689
359,1,1,19,23,513,31422,655954,502239
360,1,1,23,0,1285,26842,660534,428187
361,1,1,23,1,-1644,30381,656995,487740
362,1,1,23,2,99,27085,660291,433261
363,1,1,23,3,1430,30363,657013,484378
364,1,1,23,4,1162,27057,660319,431750
365,1,1,23,5,-1671,31612,655764,507463
366,1,1,23,6,-1348,28247,659129,453300
367,1,1,23,7,3524,29467,657909,467948
368,1,1,23,8,-44,24464,662912,391468
369,1,1,23,9,-2766,30309,657067,487710
370,1,1,23,10,2313,27403,659973,436135
371,1,1,23,11,-424,33526,653850,536840
372,1,1,23,12,141,24605,662771,393539
373,1,1,23,13,-2569,29499,657877,474553
374,1,1,23,14,-718,28350,659026,454318
375,1,1,23,15,903,31629,655747,505161
376,1,1,23,16,-4085,24439,662937,395109
377,1,1,23,17,-2373,27547,659829,443125
378,1,1,23,18,-270,27905,659471,446750
379,1,1,23,19,4122,32180,655196,510758
380,1,1,23,20,-3878,26774,660602,432262
381,1,1,23,21,4182,30753,656623,487866
382,1,1,23,22,1619,27089,660287,431805
383,1,1,23,23,1010,29850,657526,476590
384,1,2,1,0,-5174,24886,662490,403350
385,1,2,1,1,1249,30845,656531,492271
386,1,2,1,2,2454,26300,661076,418346
387,1,2,1,3,-400,31572,655804,505552
388,1,2,1,4,-446,25766,661610,412702
389,1,2,1,5,2069,31160,656216,496491
390,1,2,1,6,2484,27271,660105,433852
391,1,2,1,7,3277,31645,655731,503043
392,1,2,1,8,5123,26742,660634,422749
393,1,2,1,9,2667,30223,657153,480901
394,1,2,1,10,-1730,25530,661846,410210
395,1,2,1,11,-2670,28802,658574,463502
396,1,2,1,12,-2415,27813,659563,447423
397,1,2,1,13,1226,31825,655551,507974
398,1,2,1,14,-534,27963,659413,447942
399,1,2,1,15,-7275,27841,659535,452731
400,1,2,1,16,-188,25127,662249,402220
401,1,2,1,17,-879,32606,654770,522575
402,1,2,1,18,-2306,27071,660305,435442
403,1,2,1,19,5968,28178,659198,444880
404,1,2,1,20,2752,26758,660618,425376
405,1,2,1,21,1080,32897,654479,525272
406,1,2,1,22,-3556,29085,658291,468916
407,1,2,1,23,-2776,29470,657906,474296
408,1,2,5,0,-5756,25624,661752,415740
409,1,2,5,1,965,31577,655799,504267
410,1,2,5,2,1637,27593,659783,439851
411,1,2,5,3,3115,29457,657919,468197
412,1,2,5,4,2598,25800,661576,410202
413,1,2,5,5,-576,31733,655643,508304
414,1,2,5,6,2573,29008,658368,461555
415,1,2,5,7,-275,30779,656597,492739
416,1,2,5,8,-3120,26555,660821,428000
417,1,2,5,9,352,31668,655708,506336
418,1,2,5,10,985,28952,658424,462247
419,1,2,5,11,-1117,28330,659046,454397
420,1,2,5,12,6628,26758,660618,421500
421,1,2,5,13,1955,30928,656448,492893
422,1,2,5,14,-4141,25997,661379,420093
423,1,2,5,15,1748,30303,657073,483100
424,1,2,5,16,-867,25972,661404,416419
425,1,2,5,17,4415,32016,655360,507841
426,1,2,5,18,-412,26417,660959,423084
427,1,2,5,19,-4631,28025,659351,453031
428,1,2,5,20,169,26383,660993,421959
429,1,2,5,21,301,31634,655742,505843
430,1,2,5,22,-3830,25253,662123,407878
431,1,2,5,23,-2716,30614,656762,492540
432,1,2,7,0,-3349,23496,663880,379285
433,1,2,7,1,1409,30382,656994,484703
434,1,2,7,2,2375,27658,659718,440153
435,1,2,7,3,4016,33366,654010,529840
436,1,2,7,4,1042,24727,662649,394590
437,1,2,7,5,2175,30682,656694,488737
438,1,2,7,6,760,28210,659166,450600
439,1,2,7,7,2611,30431,656945,484285
440,1,2,7,8,-118,25918,661458,414806
441,1,2,7,9,-2943,28901,658475,465359
442,1,2,7,10,-2165,27324,660052,439349
443,1,2,7,11,-249,31823,655553,509417
444,1,2,7,12,-2163,28228,659148,453811
445,1,2,7,13,4276,30657,656719,486236
446,1,2,7,14,5090,28389,658987,449134
447,1,2,7,15,-2170,29379,657997,472234
448,1,2,7,16,-2912,26190,661186,421952
449,1,2,7,17,-4416,28832,658544,465728
450,1,2,7,18,-2659,27107,660269,436371
451,1,2,7,19,3424,31023,656353,492944
452,1,2,7,20,2448,25798,661578,410320
453,1,2,7,21,-2831,30887,656489,497023
454,1,2,7,22,-1885,27267,660109,438157
455,1,2,7,23,-1766,30701,656675,492982
456,1,2,11,0,-3232,26653,660723,429680
457,1,2,11,1,-1399,28637,658739,459591
458,1,2,11,2,-3780,28152,659224,454212
459,1,2,11,3,3339,32872,654504,522613
460,1,2,11,4,1488,26236,661140,418288
461,1,2,11,5,-290,29177,658199,467122
462,1,2,11,6,-420,27014,660362,432644
463,1,2,11,7,4027,31851,655525,505589
464,1,2,11,8,-2562,25685,661691,413522
465,1,2,11,9,96,30825,656551,493104
466,1,2,11,10,354,28295,659081,452366
467,1,2,11,11,-790,30878,656498,494838
468,1,2,11,12,1992,24736,662640,393784
469,1,2,11,13,-1199,31388,655988,503407
470,1,2,11,14,1394,27087,660289,431998
471,1,2,11,15,2961,29354,658022,466703
472,1,2,11,16,-2231,25443,661933,409319
473,1,2,11,17,1342,30303,657073,483506
474,1,2,11,18,4693,29404,657972,465771
475,1,2,11,19,-3415,29433,657943,474343
476,1,2,11,20,-507,25604,661772,410171
477,1,2,11,21,-880,30011,657365,481056
478,1,2,11,22,-725,26003,661373,416773
479,1,2,11,23,-256,32335,655041,517616
480,1,2,13,0,-6936,26232,661144,426648
481,1,2,13,1,-1567,31977,655399,513199
482,1,2,13,2,2227,27282,660094,434285
483,1,2,13,3,-5711,27809,659567,450655
484,1,2,13,4,3004,25828,661548,410244
485,1,2,13,5,-2832,33016,654360,531088
486,1,2,13,6,-1813,25494,661882,409717
487,1,2,13,7,5687,29670,657706,469033
488,1,2,13,8,831,26854,660522,428833
489,1,2,13,9,3277,32534,654842,517267
490,1,2,13,10,-2008,26832,660544,431320
491,1,2,13,11,-480,27850,659526,446080
492,1,2,13,12,-653,26467,660909,424125
493,1,2,13,13,4042,30693,656683,487046
494,1,2,13,14,-307,26981,660395,432003
495,1,2,13,15,-1964,31604,655772,507628
496,1,2,13,16,-3638,25065,662311,404678
497,1,2,13,17,4022,30750,656626,487978
498,1,2,13,18,1991,28848,658528,459577
499,1,2,13,19,3558,30153,657223,478890
500,1,2,13,20,7044,26646,660730,419292
501,1,2,13,21,470,30586,656790,488906
502,1,2,13,22,-3278,27783,659593,447806
503,1,2,13,23,-4966,30422,656954,491718
504,1,2,17,0,-1282,26392,660984,423554
505,1,2,17,1,2798,30300,657076,482002
506,1,2,17,2,103,26693,660683,426985
507,1,2,17,3,4251,28390,658986,449989
508,1,2,17,4,-838,26091,661285,418294
509,1,2,17,5,1689,31972,655404,509863
510,1,2,17,6,223,29367,658009,469649
511,1,2,17,7,-4304,29048,658328,469072
512,1,2,17,8,-1526,24682,662694,396438
513,1,2,17,9,-1911,31597,655779,507463
514,1,2,17,10,-3623,26150,661226,422023
515,1,2,17,11,-751,30406,656970,487247
516,1,2,17,12,2154,25990,661386,413686
517,1,2,17,13,122,32205,655171,515158
518,1,2,17,14,-2607,26897,660479,432959
519,1,2,17,15,612,31370,656006,501308
520,1,2,17,16,2569,25681,661695,408327
521,1,2,17,17,2150,31777,655599,506282
522,1,2,17,18,1938,26058,661318,414990
523,1,2,17,19,-602,29756,657620,476698
524,1,2,17,20,-1425,28256,659120,453521
525,1,2,17,21,2564,31705,655671,504716
526,1,2,17,22,778,28055,659321,448102
527,1,2,17,23,-3082,28538,658838,459690
528,1,2,19,0,-5646,25539,661837,414270
529,1,2,19,1,2781,30279,657097,481683
530,1,2,19,2,2219,29894,657482,476085
531,1,2,19,3,-1980,30265,657111,486220
532,1,2,19,4,684,24717,662659,394788
533,1,2,19,5,-2393,29164,658212,469017
534,1,2,19,6,-1176,26904,660472,431640
535,1,2,19,7,1571,29637,657739,472621
536,1,2,19,8,175,26042,661334,416497
537,1,2,19,9,-2894,29136,658240,469070
538,1,2,19,10,-229,27544,659832,440933
539,1,2,19,11,-3350,31101,656275,500966
540,1,2,19,12,134,26185,661191,418826
541,1,2,19,13,2904,30760,656616,489256
542,1,2,19,14,5246,26153,661223,413202
543,1,2,19,15,3826,32480,654896,515854
544,1,2,19,16,-2554,26200,661176,421754
545,1,2,19,17,152,30350,657026,485448
546,1,2,19,18,-723,28413,658963,455331
547,1,2,19,19,4464,31817,655559,504608
548,1,2,19,20,2155,25674,661702,408629
549,1,2,19,21,-2880,30652,656724,493312
550,1,2,19,22,-3821,27047,660329,436573
551,1,2,19,23,1335,31423,655953,501433
552,1,2,23,0,-4536,26562,660814,429528
553,1,2,23,1,-360,30484,656892,488104
554,1,2,23,2,-804,26985,660391,432564
555,1,2,23,3,4898,30581,656795,484398
556,1,2,23,4,1020,27078,660298,432228
557,1,2,23,5,5164,32117,655259,508708
558,1,2,23,6,6456,28656,658720,452040
559,1,2,23,7,-1822,29136,658240,467998
560,1,2,23,8,-80,24441,662935,391136
561,1,2,23,9,-1478,30268,657108,485766
562,1,2,23,10,538,27342,660034,436934
563,1,2,23,11,-141,33483,653893,535869
564,1,2,23,12,3296,24827,662549,393936
565,1,2,23,13,-2238,29541,657835,474894
566,1,2,23,14,-1582,28254,659122,453646
567,1,2,23,15,1402,31645,655731,504918
568,1,2,23,16,-1763,24601,662775,395379
569,1,2,23,17,-4112,27363,660013,441920
570,1,2,23,18,-2183,27762,659614,446375
571,1,2,23,19,2434,32148,655228,511934
572,1,2,23,20,-2989,26848,660528,432557
573,1,2,23,21,694,30568,656808,488394
574,1,2,23,22,-909,26956,660420,432205
575,1,2,23,23,-905,29730,657646,476585
576,1,3,1,0,-3566,25087,662289,404958
577,1,3,1,1,-4233,30523,656853,492601
578,1,3,1,2,33,26188,661188,418975
579,1,3,1,3,2031,31621,655755,503905
580,1,3,1,4,-772,25750,661626,412772
581,1,3,1,5,3332,31250,656126,496668
582,1,3,1,6,-13,27063,660313,433021
583,1,3,1,7,3697,31622,655754,502255
584,1,3,1,8,130,26452,660924,423102
585,1,3,1,9,-3302,29908,657468,481830
586,1,3,1,10,-1505,25466,661910,408961
587,1,3,1,11,-4458,28762,658614,464650
588,1,3,1,12,2225,28087,659289,447167
589,1,3,1,13,2229,31864,655512,507595
590,1,3,1,14,-1132,27897,659479,447484
591,1,3,1,15,1605,28454,658922,453659
592,1,3,1,16,2102,25262,662114,402090
593,1,3,1,17,-2174,32514,654862,522398
594,1,3,1,18,-2020,27130,660246,436100
595,1,3,1,19,-2378,27553,659823,443226
596,1,3,1,20,2690,26802,660574,426142
597,1,3,1,21,-638,32739,654637,524462
598,1,3,1,22,2150,29419,657957,468554
599,1,3,1,23,3967,29963,657413,475441
600,1,3,5,0,1853,26159,661217,416691
601,1,3,5,1,-674,31454,655922,503938
602,1,3,5,2,-738,27367,660009,438610
603,1,3,5,3,2042,29415,657961,468598
604,1,3,5,4,836,25664,661712,409788
605,1,3,5,5,-1447,31688,655688,508455
606,1,3,5,6,67,28909,658467,462477
607,1,3,5,7,-754,30680,656696,491634
608,1,3,5,8,1416,26846,660530,428120
609,1,3,5,9,2123,31776,655600,506293
610,1,3,5,10,2810,29056,658320,462086
611,1,3,5,11,2272,28570,658806,454848
612,1,3,5,12,-671,26340,661036,422111
613,1,3,5,13,-3934,30566,656810,492990
614,1,3,5,14,-4968,25960,661416,420328
615,1,3,5,15,-864,30078,657298,482112
616,1,3,5,16,1300,26104,661272,416364
617,1,3,5,17,436,31801,655575,508380
618,1,3,5,18,472,26390,660986,421768
619,1,3,5,19,2514,28443,658933,452574
620,1,3,5,20,-1925,26327,661049,423157
621,1,3,5,21,-1290,31513,655863,505498
622,1,3,5,22,-130,25481,661895,407826
623,1,3,5,23,-746,30789,656587,493370
624,1,3,7,0,855,23642,663734,377417
625,1,3,7,1,-1279,30101,657275,482895
626,1,3,7,2,1733,27678,659698,441115
