reference_index,maximum_centered_score,tie_count,winning_rule_indices
124,8050,1,1199
125,8200,1,972
126,9424,1,1313
127,7753,1,1689
128,8226,1,2970
129,11047,1,1646
130,8612,1,3006
131,8407,1,2165
132,9089,1,1072
133,9085,1,152
134,9625,1,2852
135,8393,1,1564
136,8726,1,2129
137,9066,1,2224
138,7404,1,2963
139,9084,1,2378
140,9171,1,492
141,8530,1,307
142,8714,1,1687
143,8472,1,1529
144,8762,1,641
145,8582,1,166
146,9554,1,1042
147,9456,1,179
148,9094,1,1384
149,9187,1,2706
150,8974,1,1735
151,7618,1,1121
152,9317,1,389
153,8979,1,2747
154,7899,1,411
155,8008,1,1477
156,9173,1,1582
157,8988,1,1605
158,8532,1,929
159,9475,1,2093
160,8498,1,1121
161,8283,1,3025
162,8929,1,1842
163,8487,1,675
164,8481,1,1537
165,8454,1,2741
166,8736,1,1718
167,7809,1,1690
168,8464,1,703
169,7617,1,2919
170,8660,1,1245
171,8302,1,1824
172,9592,1,490
173,7926,1,1626
174,9727,1,2593
175,7681,1,2217
176,10353,1,2508
177,11501,1,1773
178,8946,1,307
179,6870,1,1003
180,8196,1,969
181,7555,1,1257
182,8259,1,1812
183,9072,1,160
184,7741,1,2596
185,7487,1,693
186,8065,1,905
187,7880,1,407
188,8595,1,2385
189,8358,1,497
190,7130,1,2937
191,7924,1,21
192,8268,1,3049
193,6958,1,1227
194,8000,1,742
195,7782,1,2316
196,8744,1,1290
197,8776,1,2103
198,9252,1,2017
199,8563,1,1703
200,9535,1,357
201,9373,1,81
202,8479,1,2418
203,8144,1,1542
204,8362,1,2422
205,8704,1,1682
206,8615,1,346
207,8536,1,85
208,8116,1,2769
209,9256,1,2033
210,7571,1,802
211,8144,1,712
212,8582,1,1694
213,8125,1,1325
214,7865,1,2969
215,7200,1,1895
216,8865,1,2085
217,7898,1,1324
218,9099,1,809
219,8748,1,594
220,8407,1,1623
221,8575,1,1864
222,9012,1,689
223,10288,1,97
224,8351,1,1937
225,8792,1,971
226,8403,1,1569
227,8439,1,346
228,9118,1,3021
229,8905,1,1341
230,9187,1,2947
231,7747,1,492
232,11860,1,629
233,9231,1,1209
234,8270,1,2804
235,9376,1,1734
236,8487,1,2834
237,6914,1,2280
238,8974,1,2934
239,10065,1,1648
240,8770,1,1641
241,9219,1,1790
242,9985,1,630
243,8743,1,1214
244,8852,1,2826
245,8308,1,2791
246,8766,1,1695
247,9234,1,206
248,8242,1,46
249,9071,1,1129
250,9356,1,725
251,8259,1,535
252,8666,1,2082
253,7737,1,2637
254,9430,1,1427
255,8054,1,717
256,8100,1,729
257,7280,1,387
258,7861,1,2785
259,10787,1,2383
260,7736,1,8
261,7922,1,1834
262,11284,1,775
263,8252,1,1183
264,9152,1,1581
265,8531,1,2955
266,8132,1,2501
267,9752,1,405
268,8212,1,1107
269,10568,1,2334
270,8043,1,1037
271,8380,1,1417
272,8457,1,927
273,8329,1,686
274,7682,1,566
275,10337,1,2849
276,9129,1,1341
277,7930,1,1757
278,8609,1,2951
279,9226,1,1969
280,8321,1,719
281,9467,1,2685
282,7924,1,722
283,7802,1,603
284,7816,1,2729
285,7992,1,1142
286,9299,1,1993
287,11804,1,673
288,8070,1,1419
289,8893,1,2360
290,9660,1,1500
291,7577,1,2638
292,8002,1,1398
293,8354,1,395
294,7782,1,1419
295,10372,1,2512
296,8815,1,2183
297,8375,1,924
298,7016,1,2003
299,9232,1,1753
300,8362,1,181
301,10365,1,2555
302,8586,1,292
303,8309,1,2628
304,8605,1,81
305,7916,1,554
306,9228,1,2594
307,8687,1,1937
308,8803,1,574
309,7871,1,3059
310,7263,1,2458
311,7662,1,41
312,7562,1,237
313,7179,1,2887
314,9986,1,1149
315,11301,1,2156
316,9083,1,1263
317,7862,1,241
318,8284,1,103
319,8364,1,406
320,9109,1,3019
321,7494,1,1610
322,8616,1,2568
323,10120,1,825
324,9846,1,241
325,8892,1,1513
326,7975,1,281
327,8273,1,2726
328,9350,1,1828
329,9209,1,952
330,7679,1,1702
331,9053,1,1484
332,8010,1,1857
333,8179,1,2091
334,7789,1,2051
335,8173,1,1150
336,9431,1,1390
337,7817,1,1092
338,8559,1,1568
339,8245,1,2490
340,8024,1,658
341,9837,1,155
342,9070,1,1731
343,9701,1,2483
344,8291,1,454
345,8128,1,1045
346,9637,1,2302
347,8352,1,1821
348,8728,1,1518
349,7735,1,2200
350,9104,1,712
351,8121,1,1789
352,9497,1,39
353,9128,1,2103
354,9808,1,718
355,8603,1,2985
356,8376,1,2746
357,8937,1,1689
358,8579,1,1985
359,9879,1,947
360,7631,1,931
361,7617,1,2492
362,8306,1,1199
363,8792,1,1119
364,8219,1,874
365,7884,1,1287
366,8544,1,1777
367,9581,1,945
368,8618,1,1671
369,7702,1,1963
370,9226,1,2565
371,8471,1,2938
372,8048,1,663
373,10044,1,683
374,8049,1,2951
375,8966,1,7
376,9202,1,329
377,8415,1,2210
378,8165,1,1715
379,9458,1,1109
380,9010,1,2253
381,7320,1,989
382,9131,1,762
383,7843,1,563
384,8520,1,1570
385,11114,1,1527
386,10041,1,2301
387,10022,1,447
388,9217,1,1992
389,9529,1,1945
390,8857,1,2962
391,9097,1,509
392,8286,1,187
393,7921,1,3060
394,7796,1,1107
395,8866,1,1971
396,9410,1,2629
397,9314,1,2668
398,7327,1,1079
399,8526,1,607
400,9468,1,2500
401,8223,1,425
402,8825,1,1727
403,8896,1,413
404,8034,1,565
405,10216,1,1235
406,9559,1,2293
407,9206,1,2499
408,8022,1,983
409,8137,1,1789
410,9020,1,1761
411,8927,1,209
412,8731,1,2781
413,8659,1,1569
414,9270,1,699
415,10133,1,474
416,9296,1,43
417,10621,1,2663
418,7942,1,3027
419,8955,1,3009
420,8551,1,2401
421,8340,1,1283
422,8283,1,2250
423,7767,1,976
424,9030,1,2709
425,8555,1,1875
426,8363,1,1126
427,8298,1,1527
428,8994,1,2064
429,8006,1,1630
430,7770,1,567
431,8737,1,471
432,10080,1,2735
433,9353,1,2301
434,8404,1,841
435,9388,1,2049
436,7973,1,2483
437,8112,1,2954
438,8608,1,1718
439,7996,1,701
440,8896,1,1895
441,8169,1,1389
442,8540,1,2468
443,8621,1,2220
444,7713,1,354
445,9663,1,2661
446,7946,1,397
447,8445,1,1112
448,8076,1,1207
449,8193,1,625
450,9133,1,2681
451,8783,1,807
452,13078,1,587
453,7763,1,2691
454,8738,1,2287
455,8902,1,1481
456,7708,1,1717
457,8279,1,2308
458,9476,1,236
459,8772,1,2752
460,8053,1,2485
461,9255,1,1132
462,7757,1,2663
463,9172,1,420
464,9134,1,2386
465,7487,1,1219
466,10002,1,1080
467,10160,1,2100
468,9627,1,2216
469,8326,1,2181
470,9799,1,1678
471,10828,1,1429
472,9366,1,2835
473,8048,1,961
474,7393,1,481
475,7864,1,2284
476,9244,1,1513
477,8196,1,2734
478,9259,1,1528
479,10924,1,2098
480,10352,1,2330
481,8268,1,2594
482,8498,1,2035
483,8112,1,1366
484,8658,1,293
485,8229,1,261
486,8170,1,143
487,9656,1,1562
488,11312,1,2047
489,8954,1,1877
490,9860,1,205
491,7912,1,2228
492,8200,1,971
493,7760,1,835
494,8621,1,2627
495,8290,1,647
496,8208,1,1821
497,8240,1,547
498,9670,1,1383
499,8815,1,2418
500,8192,1,2018
501,7545,1,2911
502,7901,1,175
503,7626,1,212
504,8092,1,2677
505,9476,1,525
506,8421,1,2521
507,8764,1,899
508,8503,1,1787
509,7227,2,1441;1469
510,8181,1,736
511,9233,1,2986
512,8908,1,834
513,8820,1,2439
514,9250,1,1301
515,8276,1,423
516,9088,1,3004
517,7549,1,2935
518,9201,1,2243
519,8405,1,707
520,8828,1,1207
521,8693,1,2184
522,9677,1,934
523,9071,1,1031
524,7308,1,2378
525,8322,1,2037
526,8499,1,245
527,9166,1,981
528,7942,1,1279
529,9094,1,2461
530,10827,1,3025
531,8989,1,935
532,10057,1,2001
533,9119,1,140
534,8243,1,1087
535,8908,1,910
536,9439,1,2897
537,7920,1,2434
538,7636,1,351
539,9122,1,2094
540,9025,1,1631
541,9640,1,2493
542,8718,1,1707
543,6868,1,1376
544,8358,1,1909
545,9692,1,221
546,7524,1,2297
547,9762,1,374
548,8103,1,1208
549,7074,1,378
550,8602,1,1539
551,8493,1,2573
552,8205,1,424
553,7644,1,1797
554,8278,1,17
555,7487,1,2274
556,8257,1,71
557,8580,1,2154
558,9215,1,1219
559,8375,1,1377
560,9455,1,838
561,10054,1,1502
562,7477,1,799
563,7926,1,2853
564,7711,1,1830
565,8152,1,3048
566,8299,1,1748
567,8704,1,97
568,8728,1,1271
569,9016,1,1133
570,9237,1,655
571,8662,1,27
572,7929,1,2763
573,8790,1,2269
574,9516,1,2307
575,7713,1,469
576,7071,1,3007
577,8427,1,740
578,9087,1,140
579,8873,1,2870
580,9065,1,927
581,8748,1,1326
582,10248,1,2061
583,8673,1,11
584,9771,1,1603
585,8533,1,2479
586,9947,1,1223
587,9174,1,1419
588,8604,1,1169
589,8805,1,2773
590,9256,1,1343
591,9272,1,1698
592,9216,1,2011
593,8484,1,531
594,8760,1,2142
595,8790,1,447
596,8889,1,2143
597,8868,1,1245
598,8340,1,1063
599,9345,1,873
600,9974,1,1538
601,8669,1,1873
602,8123,1,2158
603,8848,1,147
604,10412,1,1794
605,9309,1,444
606,8494,1,601
607,8046,1,793
608,7767,1,852
609,8899,1,2549
610,8265,1,65
611,8696,1,371
612,9156,1,783
613,8576,1,1911
614,8907,1,1025
615,7946,1,2609
616,7987,1,1257
617,7858,1,470
618,9738,1,2744
619,8323,1,2115
620,8164,1,351
621,7440,1,1954
622,8444,1,834
623,7025,1,1631
624,9146,1,2607
625,7860,1,1552
626,8947,1,2833
627,8260,1,2949
628,9697,1,1690
629,9487,1,2456
630,8858,1,2565
631,8520,1,2377
632,8832,1,2020
633,7891,1,1708
634,9607,1,347
635,7396,1,747
636,8427,1,1737
637,8110,1,664
638,8595,1,2706
639,8731,1,2557
640,7737,1,691
641,9220,1,1984
642,13079,1,1575
643,8432,1,1581
644,7741,1,1170
645,10000,1,387
646,9408,1,2311
647,8699,1,2511
648,9195,1,1509
649,8884,1,2733
650,10408,1,8
651,9351,1,2927
652,9636,1,2757
653,8712,1,909
654,8342,1,381
655,7652,1,3042
656,8042,1,503
657,7688,1,2978
658,8712,1,2015
659,8001,1,2767
660,8266,1,1823
661,8690,1,2530
662,7390,1,171
663,8367,1,2338
664,9256,1,2613
665,9007,1,648
666,8246,1,7
667,7483,1,1950
668,9614,1,1695
669,8500,1,2501
670,8216,1,1917
671,8711,1,1136
672,7631,1,105
673,8619,1,1463
674,8368,1,549
675,8450,1,2778
676,9029,1,389
677,9743,1,1100
678,9229,1,935
679,8897,1,433
680,9485,1,81
681,9227,1,1523
682,9908,1,3042
683,8940,1,1287
684,7367,1,2058
685,9319,1,2878
686,8612,1,236
687,10585,1,2763
688,9547,1,913
689,8819,1,2093
690,8108,1,103
691,7755,1,2876
692,8435,1,887
693,8121,1,1495
694,9675,1,1037
695,9090,1,1941
696,8362,1,2121
697,8199,1,947
698,9354,1,2851
699,7853,1,681
700,8958,1,627
701,9524,1,495
702,7717,1,657
703,7933,1,2051
704,9764,1,929
705,7377,1,2296
706,8910,1,2816
707,9633,1,453
708,10026,1,567
709,9462,1,1383
710,8147,1,1813
711,9979,1,1803
712,9087,1,1339
713,7893,1,2235
714,8645,1,1625
715,8440,1,1965
716,8058,1,512
717,9882,1,430
718,7951,1,2271
719,9930,1,503
720,8125,1,2839
721,8164,1,1212
722,8549,1,2156
723,9053,1,213
724,8371,1,264
725,7748,1,1000
726,8092,1,725
727,9270,1,1194
728,8580,1,1107
729,7896,1,1235
730,8628,1,775
731,8086,1,780
732,7924,1,1108
733,8924,1,2428
734,9207,1,1317
735,7486,1,794
736,8594,1,318
737,8335,1,2902
738,10392,1,971
739,8303,1,1568
740,8329,1,2830
741,10106,1,1639
742,9311,1,1869
743,8374,1,527
744,9802,1,1375
745,8410,1,735
746,13147,1,2727
747,9440,1,1829
748,9621,1,1715
749,9856,1,2328
750,10599,1,926
751,7212,1,1849
752,9519,1,1779
753,9473,1,873
754,8774,1,412
755,7800,1,85
756,8283,1,1104
757,7798,1,70
758,7583,1,1519
759,7752,1,20
760,9628,1,3062
761,8844,1,221
762,8323,1,2093
763,8059,1,349
764,10125,1,334
765,7618,1,2722
766,7921,1,1311
767,8298,1,738
768,9575,1,1759
769,8162,1,1711
770,7206,1,2893
771,7690,1,1845
772,8043,1,1345
773,8141,1,155
774,7960,1,2775
775,8816,1,97
776,8173,1,764
777,8106,1,2524
778,7389,1,2555
779,8897,1,1919
780,8704,1,2491
781,8167,1,1103
782,7849,1,1135
783,8170,1,1687
784,7422,1,1685
785,10168,1,860
786,9808,1,2330
787,9873,1,1173
788,8852,1,361
789,9281,1,1158
790,8930,1,1520
791,8796,1,2378
792,8909,1,1959
793,11434,1,539
794,8555,1,1748
795,9483,1,1433
796,8699,1,1645
797,9513,1,1643
798,8167,1,1729
799,9066,1,1539
800,9167,1,769
801,7749,1,2497
802,9306,1,2289
803,8744,1,101
804,8170,1,1539
805,8540,1,2513
806,8658,1,677
807,8349,1,391
808,8131,1,1790
809,9905,1,1165
810,8544,1,715
811,8490,1,2642
812,8709,1,1320
813,8202,1,1671
814,8787,1,2091
815,8454,1,1616
816,8032,1,310
817,7811,1,1790
818,8064,1,263
819,7836,1,2025
820,10138,1,2801
821,8668,1,1274
822,8783,1,2902
823,8399,1,87
824,9083,1,1775
825,8512,1,43
826,7590,1,2635
827,8495,1,599
828,7501,1,391
829,8062,1,2403
830,10488,1,1553
831,8336,1,491
832,7692,1,1247
833,7948,1,250
834,8358,1,2097
835,8915,1,901
836,8772,1,1245
837,8193,1,518
838,7525,1,2874
839,7485,1,942
840,9053,1,188
841,7144,1,972
842,8940,1,1749
843,8090,1,398
844,8885,1,933
845,8138,1,1599
846,8614,1,2268
847,9150,1,950
848,7550,1,981
849,8665,1,1089
850,7841,1,1820
851,8890,1,1539
852,8654,1,1286
853,8504,1,2228
854,7817,1,763
855,8266,1,109
856,9823,1,1862
857,8658,1,293
858,8014,1,118
859,9869,1,124
860,8126,1,2921
861,8587,1,1469
862,8433,1,441
863,8008,1,1439
864,9549,1,2663
865,8397,1,2935
866,9238,1,1383
867,8465,1,483
868,7893,1,1784
869,8346,1,708
870,9366,1,573
871,8555,1,1021
872,9324,1,2215
873,8705,1,102
874,8461,1,2220
875,8631,1,2927
876,9213,1,138
877,9676,1,1363
878,7714,1,2807
879,8431,1,1869
880,8318,1,1358
881,7901,1,678
882,9674,1,2751
883,8660,1,2733
884,9451,1,1147
885,9530,1,2851
886,8524,1,1276
887,9429,1,1667
888,8694,1,2218
889,9266,1,206
890,9013,1,2184
891,8487,1,2355
892,8593,1,1165
893,9233,1,1071
894,7760,1,1
895,9017,1,2301
896,10016,1,485
897,8802,1,1677
898,9239,1,2623
899,7879,1,217
900,8079,1,1918
901,9079,1,1933
902,8293,1,736
903,8617,1,2411
904,9035,1,2781
905,8278,1,717
906,7364,1,590
907,8184,1,1699
908,10600,1,2015
909,8337,1,453
910,9364,1,865
911,8825,1,2577
912,7665,1,306
913,8292,1,1635
914,9404,1,1659
915,8412,1,2500
916,8913,1,583
917,9390,1,1531
918,9152,1,955
919,8122,1,2960
920,9270,1,1285
921,8714,1,1989
922,8434,1,565
923,8065,1,190
924,8484,1,2826
925,7772,1,2378
926,9355,1,393
927,8665,1,2740
928,8159,1,1058
929,7643,1,2399
930,10982,1,2741
931,9167,1,1079
932,7938,1,2046
933,7660,1,848
934,8154,1,2400
935,8504,1,2021
936,8254,1,3053
937,7963,1,1860
938,8929,1,3043
939,8512,1,2259
940,8808,1,2606
941,7981,1,2402
942,10496,1,955
943,7858,1,470
944,9313,1,2980
945,9139,1,1310
946,8188,1,141
947,8035,1,321
948,7832,1,2142
949,8637,1,1309
950,7859,1,1494
951,9014,1,2336
952,8524,1,980
953,7776,1,3065
954,9078,1,573
955,8549,1,2516
956,8219,1,3025
957,9334,1,2683
958,7669,1,2603
959,8345,1,2667
960,8550,1,17
961,8679,1,2842
962,8029,1,1360
963,9069,1,1325
964,7159,1,943
965,8144,1,2954
966,9737,1,2310
967,8839,1,1490
968,8279,1,1171
969,9619,1,887
970,7923,1,321
971,9347,1,9
972,8766,1,2699
973,8781,1,1964
974,10112,1,1466
975,8375,1,2639
976,8241,1,1165
977,9075,1,422
978,9617,1,873
979,8942,1,2162
980,7439,1,1129
981,7090,1,315
982,8716,1,871
983,9207,1,1994
984,9896,1,541
985,8404,1,2317
986,7926,1,2635
987,9097,1,1436
988,9403,1,1603
989,8492,1,2307
990,8219,1,478
991,7115,1,287
992,8167,1,284
993,10322,1,1397
994,9175,1,1277
995,9106,1,369
996,7954,1,206
997,7064,1,2746
998,10245,1,2785
999,8022,1,1347
1000,8577,1,2445
1001,8095,1,1453
1002,8330,1,814
1003,8412,1,3049
1004,7957,1,2976
1005,8650,1,1197
1006,8938,1,567
1007,10395,1,1950
1008,7637,1,399
1009,8614,1,2347
1010,8755,1,2383
1011,8554,1,1122
1012,8289,1,1342
1013,9560,1,2930
1014,8326,1,2087
1015,7755,1,806
1016,8730,1,1122
1017,10777,1,605
1018,8243,1,1651
1019,8377,1,2870
1020,9519,1,2532
1021,8939,1,459
1022,8831,1,745
1023,7856,1,2590
1024,10813,1,2029
1025,8366,1,601
1026,9143,1,2654
1027,9318,1,2097
1028,6988,1,222
1029,9820,1,2025
1030,9033,1,1837
1031,7885,1,2257
1032,8487,1,1896
1033,10069,1,2521
1034,9598,1,402
1035,8937,1,2000
1036,8538,1,641
1037,7631,1,1357
1038,9226,1,2013
1039,8175,1,96
1040,10105,1,2379
1041,8858,1,115
1042,8154,1,2607
1043,8094,1,2496
1044,7564,1,2547
1045,8471,1,1205
1046,8109,1,1484
1047,8867,1,2955
1048,8632,1,2805
1049,8819,1,1614
1050,8221,1,1958
1051,8267,1,1433
1052,9107,1,2059
1053,8778,1,2788
1054,8233,1,1011
1055,8558,1,1793
1056,9135,1,1507
1057,8274,1,772
1058,8370,1,2778
1059,9623,1,1103
1060,9568,1,387
1061,8484,1,969
1062,8880,1,1218
1063,7518,1,1948
1064,8967,1,864
1065,8310,1,2825
1066,9335,1,1291
1067,9802,1,1550
1068,10271,1,1809
1069,8191,1,317
1070,8556,1,1749
1071,7425,1,1312
1072,7804,1,1215
1073,8135,1,1729
1074,9097,1,2787
1075,8946,1,2387
1076,7740,1,1101
1077,8572,1,2378
1078,7707,1,1991
1079,8492,1,223
1080,8841,1,1089
1081,9094,1,755
1082,8370,1,2046
1083,8776,1,1442
1084,7728,1,2748
1085,8529,1,354
1086,6964,1,1376
1087,7803,1,1775
1088,8661,1,2166
1089,8950,1,7
1090,9448,1,832
1091,9301,1,145
1092,7651,1,2884
1093,7822,1,2620
1094,9399,1,135
1095,7797,1,2773
1096,8138,1,2758
1097,8293,1,1387
1098,8445,1,372
1099,8912,1,416
1100,7723,1,1748
1101,9378,1,1941
1102,8597,1,342
1103,9470,1,2941
1104,7780,1,722
1105,9857,1,2286
1106,8261,1,2957
1107,8919,1,2623
1108,7714,1,765
1109,8939,1,2643
1110,7963,1,645
1111,8856,1,371
1112,8943,1,807
1113,7737,1,1727
1114,9334,1,2973
1115,8839,1,182
1116,10523,1,620
1117,9265,1,125
1118,8013,1,213
1119,8038,1,355
1120,7688,1,2775
1121,8625,1,1551
1122,9023,1,1937
1123,9895,1,1646
1124,8518,1,1054
1125,8324,1,1405
1126,9289,1,1244
1127,8401,1,1537
1128,8236,1,2273
1129,8058,1,2394
1130,8903,1,373
1131,8892,1,1761
1132,8724,1,2618
1133,8677,1,811
1134,8963,1,937
1135,7690,1,2524
1136,9392,1,1895
1137,8083,2,1812;2679
1138,8727,1,2293
1139,8750,1,633
1140,8477,1,2627
1141,8179,1,1569
1142,8561,1,2616
1143,8263,1,2623
1144,8715,1,2467
1145,8042,1,562
1146,8429,1,2455
1147,8386,1,395
1148,8602,1,1437
1149,7856,1,835
1150,7867,1,2543
1151,7890,1,2046
1152,8453,1,1237
1153,8620,1,3049
1154,8169,1,2471
1155,7075,1,1614
1156,9060,1,1901
1157,8613,1,2689
1158,8766,1,139
1159,8639,1,599
1160,7845,1,650
1161,7800,1,1295
1162,9041,1,1165
1163,9063,1,926
1164,9647,1,276
1165,9509,1,130
1166,8906,1,2883
1167,10345,1,1426
1168,9102,1,2967
1169,9355,1,2207
1170,9881,1,709
1171,8153,1,34
1172,8710,1,1019
1173,7426,1,2514
1174,8850,1,1979
1175,9767,1,2888
1176,8302,1,3055
1177,7968,1,51
1178,8079,1,1910
1179,9959,1,1077
1180,9249,1,2238
1181,8621,1,1038
1182,9439,1,2995
1183,8975,1,1640
1184,7587,1,312
1185,8537,1,1837
1186,7919,1,2584
1187,8771,1,2211
1188,8765,1,1484
1189,7014,1,2714
1190,9225,1,1436
1191,8517,1,3044
1192,7467,1,3052
1193,8078,1,1986
1194,9780,1,1063
1195,8576,1,862
1196,7377,1,1198
1197,7988,1,2826
1198,7946,1,1846
1199,7916,1,1953
1200,8417,1,1423
1201,8497,1,1289
1202,8303,1,1141
1203,8185,1,427
1204,9906,1,1185
1205,9118,1,2417
1206,8973,1,3071
1207,8346,1,1306
1208,7996,1,2176
1209,8049,1,2286
1210,8199,1,575
1211,8306,1,593
1212,10192,1,2397
1213,9254,1,3047
1214,8123,1,345
1215,8952,1,2099
1216,7795,1,1117
1217,9906,1,1532
1218,7806,1,253
1219,7867,1,2222
1220,10127,1,1560
1221,9521,1,1071
1222,8274,1,1987
1223,9997,1,391
1224,7479,1,2654
1225,8795,1,3025
1226,8021,1,1315
1227,8366,1,505
1228,7443,1,831
1229,8054,1,1003
1230,8853,1,2490
1231,9448,1,541
1232,9994,1,1823
1233,8972,1,2739
1234,8849,1,905
1235,8494,1,1571
1236,10055,1,2437
1237,8618,1,2961
1238,8966,1,733
1239,8321,1,3060
1240,7329,1,11
1241,8814,1,981
1242,7398,1,893
1243,9101,1,1913
1244,8472,1,989
1245,8612,1,2582
1246,9384,1,1119
1247,8924,1,2739
1248,8100,1,351
1249,9172,1,1984
1250,8319,1,2265
1251,8662,1,1019
1252,8306,1,1774
1253,7766,1,757
1254,8815,1,2271
1255,8366,1,1349
1256,8772,1,2501
1257,9459,1,1927
1258,9008,1,417
1259,9979,1,1139
1260,8139,1,2854
1261,7980,1,50
1262,8509,1,2220
1263,9762,1,2650
1264,8328,1,2202
1265,8583,1,1729
1266,7839,1,891
1267,7670,1,853
1268,7815,1,947
1269,7935,1,3068
1270,7650,1,2610
1271,8520,1,552
1272,8291,1,1464
1273,9170,1,1121
1274,9491,1,2231
1275,9773,1,391
1276,8930,1,2022
1277,10175,1,1129
1278,7768,1,2329
1279,8163,1,421
1280,10317,1,1873
1281,7765,1,811
1282,8247,1,1086
1283,9229,1,1913
1284,7545,1,2852
1285,8793,1,49
1286,8618,1,2121
1287,8521,1,1564
1288,9129,1,2019
1289,8028,1,1471
1290,7657,1,691
1291,8288,1,403
1292,7582,1,607
1293,8315,1,2222
1294,7493,1,399
1295,7615,1,2812
1296,7534,1,816
1297,8965,1,409
1298,10086,1,2351
1299,7247,1,1702
1300,7292,1,1471
1301,8039,1,2772
1302,9554,1,60
1303,10371,1,348
1304,8871,1,1722
1305,10161,1,3043
1306,8389,1,2976
1307,8952,1,618
1308,9441,1,453
1309,8940,1,1111
1310,8160,1,1988
1311,7677,1,334
1312,7117,1,529
1313,7854,1,1973
1314,8240,1,1613
1315,9850,1,13
1316,7810,1,1532
1317,8844,1,324
1318,8851,1,454
1319,7568,1,2106
1320,8615,1,2401
1321,8502,1,1383
1322,8258,1,308
1323,9071,1,745
1324,8631,1,2401
1325,8184,1,2686
1326,10088,1,552
1327,8258,1,596
1328,7369,1,2000
1329,7553,1,385
1330,8144,1,668
1331,10336,1,2735
1332,9021,1,1607
1333,7638,1,527
1334,8834,1,2266
1335,9545,1,2670
1336,7921,1,1992
1337,8449,1,2984
1338,8457,1,2169
1339,8447,1,1219
1340,7519,1,931
1341,8758,1,2053
1342,7451,1,996
1343,9472,1,1681
1344,8865,1,713
1345,8514,1,1397
1346,8871,1,2623
1347,7725,1,2431
1348,8651,1,2180
1349,8473,1,34
1350,9741,1,42
1351,8435,1,1621
1352,8787,1,606
1353,7784,1,2199
1354,11278,1,189
1355,8954,1,2851
1356,8304,1,911
1357,10145,1,1970
1358,9177,1,1945
1359,7921,1,2945
1360,7461,1,399
1361,8698,1,1639
1362,7805,1,1153
1363,8924,1,1549
1364,10219,1,1025
1365,8157,1,213
1366,8101,1,2785
1367,8288,1,3065
1368,7249,1,2919
1369,8161,1,441
1370,9151,1,1573
1371,7602,1,2258
1372,8091,1,609
1373,8625,1,1311
1374,8779,1,287
1375,8529,1,483
1376,9178,1,1473
1377,9440,1,1821
1378,9056,1,2145
1379,8913,1,33
1380,7322,1,2751
1381,11485,1,2859
1382,8154,1,1757
1383,8004,1,2324
1384,9536,1,1218
1385,7946,1,920
1386,8953,1,1837
1387,8075,1,2685
1388,9132,1,2378
1389,8416,1,1682
1390,7101,1,2996
1391,9287,1,1868
1392,7494,1,1656
1393,8537,1,2379
1394,8497,1,990
1395,7886,1,69
1396,9077,1,1724
1397,8120,1,74
1398,8929,1,2148
